chain,iter,beta,score_soxR,score_cpxR
0,2470,0.03223,-14088.0,-4334.0
0,2480,0.03232,-15460.0,-3905.0
0,2490,0.03241,-16416.0,-4907.0
0,2500,0.0325,-16408.0,-3554.0
0,2510,0.03259,-13350.0,-4347.0
0,2520,0.03268,-12072.0,-2968.0
0,2530,0.03277,-15531.0,-6061.0
0,2540,0.03286,-15229.0,-4948.0
0,2550,0.03295,-12571.0,-4316.0
0,2560,0.03304,-16323.0,-3160.0
0,2570,0.03313000000000001,-15355.0,-3568.0
0,2580,0.033220000000000006,-14516.0,-5908.0
0,2590,0.033310000000000006,-12669.0,-4012.0
0,2600,0.033400000000000006,-15158.0,-4311.0
0,2610,0.033490000000000006,-12243.0,-4189.0
0,2620,0.033580000000000006,-14357.0,-4449.0
0,2630,0.033670000000000005,-14790.0,-5548.0
0,2640,0.033760000000000005,-16496.0,-5763.0
0,2650,0.033850000000000005,-15349.0,-4828.0
0,2660,0.033940000000000005,-14063.0,-3942.0
0,2670,0.034030000000000005,-16148.0,-4309.0
0,2680,0.034120000000000004,-15102.0,-4166.0
0,2690,0.034210000000000004,-15467.0,-6116.0
0,2700,0.034300000000000004,-13718.0,-6180.0
0,2710,0.034390000000000004,-14006.0,-5867.0
0,2720,0.034480000000000004,-14909.0,-5609.0
0,2730,0.034570000000000004,-14574.0,-4940.0
0,2740,0.03466,-15053.0,-4557.0
0,2750,0.03475,-13117.0,-3851.0
0,2760,0.03484,-12882.0,-4036.0
0,2770,0.03493,-13128.0,-6143.0
0,2780,0.03502,-14259.0,-5337.0
0,2790,0.03511,-14208.0,-5653.0
0,2800,0.0352,-13173.0,-3297.0
0,2810,0.03529000000000001,-14668.0,-3502.0
0,2820,0.03538,-14349.0,-3512.0
0,2830,0.03547,-11024.0,-2281.0
0,2840,0.03556,-13329.0,-5251.0
0,2850,0.03565,-13791.0,-4030.0
0,2860,0.03574,-14337.0,-5163.0
0,2870,0.03583,-14456.0,-5804.0
0,2880,0.03592,-15842.0,-3940.0
0,2890,0.03601,-16324.0,-5700.0
0,2900,0.0361,-15132.0,-6176.0
0,2910,0.03619,-13566.0,-6046.0
0,2920,0.03628,-14026.0,-1515.0
0,2930,0.03637,-13255.0,-4981.0
0,2940,0.03646,-13368.0,-1799.0
0,2950,0.03655,-8766.0,-3193.0
0,2960,0.03664,-20019.0,-6986.0
0,2970,0.03673,-14167.0,-6485.0
0,2980,0.036820000000000006,-17548.0,-4063.0
0,2990,0.036910000000000005,-13198.0,-3819.0
0,3000,0.037000000000000005,-14751.0,-4122.0
0,3010,0.037090000000000005,-12817.0,-4288.0
0,3020,0.037180000000000005,-11060.0,-4530.0
0,3030,0.037270000000000005,-14832.0,-3081.0
0,3040,0.037360000000000004,-15633.0,-5390.0
0,3050,0.037450000000000004,-15615.0,-4358.0
0,3060,0.037540000000000004,-16296.0,-4817.0
0,3070,0.037630000000000004,-14347.0,-2872.0
0,3080,0.037720000000000004,-15747.0,-6483.0
0,3090,0.03781,-13082.0,-4185.0
0,3100,0.0379,-13115.0,-5245.0
0,3110,0.03799,-15995.0,-1783.0
0,3120,0.03808,-13843.0,-5028.0
0,3130,0.03817,-16506.0,-1832.0
0,3140,0.03826,-14970.0,-4389.0
0,3150,0.03835,-14900.0,-5141.0
0,3160,0.03844,-14516.0,-5901.0
0,3170,0.03853,-14396.0,-5997.0
0,3180,0.03862,-14237.0,-5538.0
0,3190,0.03871,-14332.0,-2946.0
0,3200,0.0388,-12183.0,-3132.0
0,3210,0.03889,-14230.0,-4906.0
0,3220,0.03898000000000001,-16456.0,-4111.0
0,3230,0.03907000000000001,-13950.0,-5642.0
0,3240,0.03916000000000001,-12632.0,-4989.0
0,3250,0.03925000000000001,-14343.0,-4059.0
0,3260,0.03934000000000001,-14109.0,-4266.0
0,3270,0.03943000000000001,-13036.0,-4779.0
0,3280,0.039520000000000007,-12232.0,-4542.0
0,3290,0.039610000000000006,-13852.0,-3369.0
0,3300,0.039700000000000006,-13729.0,-4287.0
0,3310,0.039790000000000006,-13715.0,-5819.0
0,3320,0.039880000000000006,-17450.0,-4592.0
0,3330,0.039970000000000006,-11945.0,-2949.0
0,3340,0.040060000000000005,-15688.0,-3356.0
0,3350,0.040150000000000005,-15406.0,-3805.0
0,3360,0.040240000000000005,-16509.0,-4926.0
0,3370,0.040330000000000005,-11826.0,-3532.0
0,3380,0.040420000000000005,-15272.0,-4932.0
0,3390,0.040510000000000004,-12764.0,-2950.0
0,3400,0.040600000000000004,-12244.0,-3427.0
0,3410,0.040690000000000004,-15855.0,-5349.0
0,3420,0.040780000000000004,-11816.0,-4430.0
0,3430,0.040870000000000004,-15335.0,-5457.0
0,3440,0.04096,-15159.0,-5614.0
0,3450,0.04105,-13916.0,-3506.0
0,3460,0.04114,-15417.0,-6665.0
0,3470,0.04123,-12412.0,-4932.0
0,3480,0.04132,-15788.0,-5616.0
0,3490,0.04141,-15038.0,-5310.0
0,3500,0.0415,-14681.0,-5091.0
0,3510,0.04159,-13707.0,-3935.0
0,3520,0.04168,-16945.0,-4644.0
0,3530,0.04177,-12926.0,-5195.0
0,3540,0.04186,-15247.0,-4099.0
0,3550,0.04195,-15200.0,-6150.0
0,3560,0.04204,-13924.0,-6954.0
0,3570,0.04213000000000001,-14538.0,-5340.0
0,3580,0.04222000000000001,-14429.0,-5398.0
0,3590,0.04231000000000001,-13282.0,-4810.0
0,3600,0.04240000000000001,-11944.0,-5157.0
0,3610,0.04249000000000001,-14085.0,-4317.0
0,3620,0.04258000000000001,-14180.0,-3516.0
0,3630,0.04267000000000001,-10553.0,-4944.0
0,3640,0.042760000000000006,-12383.0,-3359.0
0,3650,0.042850000000000006,-16399.0,-4624.0
