chain,draw,score_cpxR,score_soxR
0,5270,-560.0,-550.0
0,5280,-560.0,-550.0
0,5290,-560.0,-550.0
0,5300,-560.0,-550.0
0,5310,-560.0,-550.0
0,5320,-560.0,-550.0
0,5330,-560.0,-550.0
0,5340,-560.0,-550.0
0,5350,-560.0,-550.0
0,5360,-560.0,-550.0
0,5370,-560.0,-550.0
0,5380,-560.0,-550.0
0,5390,-560.0,-550.0
0,5400,-560.0,-550.0
0,5410,-560.0,-550.0
0,5420,-560.0,-550.0
0,5430,-560.0,-550.0
0,5440,-560.0,-550.0
0,5450,-560.0,-550.0
0,5460,-560.0,-550.0
0,5470,-560.0,-550.0
0,5480,-560.0,-550.0
0,5490,-560.0,-550.0
0,5500,-560.0,-550.0
0,5510,-560.0,-550.0
0,5520,-560.0,-550.0
0,5530,-560.0,-491.0
0,5540,-560.0,-491.0
0,5550,-560.0,-491.0
0,5560,-560.0,-491.0
0,5570,-560.0,-550.0
0,5580,-560.0,-550.0
0,5590,-560.0,-550.0
0,5600,-560.0,-550.0
0,5610,-560.0,-550.0
0,5620,-560.0,-550.0
0,5630,-560.0,-550.0
0,5640,-560.0,-550.0
0,5650,-560.0,-550.0
0,5660,-560.0,-550.0
0,5670,-560.0,-491.0
0,5680,-560.0,-491.0
0,5690,-560.0,-491.0
0,5700,-560.0,-550.0
0,5710,-560.0,-550.0
0,5720,-560.0,-550.0
0,5730,-560.0,-550.0
0,5740,-560.0,-550.0
0,5750,-560.0,-550.0
0,5760,-560.0,-550.0
0,5770,-560.0,-550.0
0,5780,-560.0,-550.0
0,5790,-560.0,-550.0
0,5800,-560.0,-550.0
0,5810,-560.0,-550.0
0,5820,-560.0,-550.0
0,5830,-560.0,-550.0
0,5840,-560.0,-550.0
0,5850,-560.0,-550.0
0,5860,-560.0,-550.0
0,5870,-560.0,-550.0
0,5880,-560.0,-550.0
0,5890,-560.0,-550.0
0,5900,-560.0,-550.0
0,5910,-560.0,-550.0
0,5920,-560.0,-550.0
0,5930,-560.0,-550.0
0,5940,-560.0,-491.0
0,5950,-560.0,-550.0
0,5960,-560.0,-550.0
0,5970,-560.0,-550.0
0,5980,-560.0,-491.0
0,5990,-560.0,-550.0
0,6000,-560.0,-550.0
0,6010,-560.0,-550.0
0,6020,-560.0,-550.0
0,6030,-560.0,-550.0
0,6040,-560.0,-550.0
0,6050,-560.0,-550.0
0,6060,-560.0,-550.0
0,6070,-560.0,-550.0
0,6080,-503.0,-550.0
0,6090,-503.0,-491.0
0,6100,-503.0,-491.0
0,6110,-503.0,-491.0
0,6120,-503.0,-491.0
0,6130,-503.0,-491.0
0,6140,-503.0,-491.0
0,6150,-503.0,-491.0
0,6160,-503.0,-491.0
0,6170,-503.0,-491.0
0,6180,-503.0,-491.0
0,6190,-503.0,-491.0
0,6200,-503.0,-491.0
0,6210,-503.0,-491.0
0,6220,-503.0,-491.0
0,6230,-503.0,-491.0
0,6240,-503.0,-491.0
0,6250,-503.0,-491.0
0,6260,-503.0,-491.0
0,6270,-503.0,-491.0
0,6280,-503.0,-491.0
0,6290,-503.0,-491.0
0,6300,-503.0,-491.0
0,6310,-503.0,-491.0
0,6320,-503.0,-491.0
0,6330,-503.0,-491.0
0,6340,-503.0,-491.0
0,6350,-503.0,-491.0
0,6360,-503.0,-491.0
0,6370,-503.0,-491.0
0,6380,-503.0,-491.0
0,6390,-503.0,-491.0
0,6400,-503.0,-491.0
0,6410,-503.0,-491.0
0,6420,-503.0,-491.0
0,6430,-503.0,-491.0
0,6440,-503.0,-491.0
0,6450,-503.0,-491.0
0,6460,-503.0,-491.0
0,6470,-503.0,-491.0
0,6480,-503.0,-491.0
0,6490,-503.0,-491.0
0,6500,-503.0,-491.0
0,6510,-503.0,-491.0
0,6520,-503.0,-491.0
0,6530,-503.0,-491.0
0,6540,-503.0,-491.0
0,6550,-503.0,-491.0
0,6560,-503.0,-491.0
0,6570,-503.0,-491.0
0,6580,-503.0,-491.0
0,6590,-503.0,-491.0
0,6600,-503.0,-491.0
0,6610,-503.0,-491.0
0,6620,-503.0,-491.0
0,6630,-503.0,-491.0
0,6640,-503.0,-491.0
0,6650,-503.0,-491.0
0,6660,-503.0,-491.0
0,6670,-503.0,-491.0
0,6680,-503.0,-491.0
0,6690,-503.0,-491.0
0,6700,-503.0,-491.0
0,6710,-503.0,-491.0
0,6720,-503.0,-491.0
0,6730,-503.0,-491.0
0,6740,-503.0,-491.0
0,6750,-503.0,-491.0
0,6760,-503.0,-491.0
0,6770,-503.0,-491.0
0,6780,-503.0,-491.0
0,6790,-503.0,-491.0
0,6800,-503.0,-491.0
0,6810,-503.0,-491.0
0,6820,-503.0,-491.0
0,6830,-503.0,-491.0
0,6840,-503.0,-491.0
0,6850,-503.0,-491.0
0,6860,-503.0,-491.0
0,6870,-503.0,-491.0
0,6880,-503.0,-491.0
0,6890,-503.0,-491.0
0,6900,-503.0,-491.0
0,6910,-503.0,-491.0
0,6920,-503.0,-491.0
0,6930,-503.0,-491.0
0,6940,-503.0,-491.0
0,6950,-503.0,-491.0
0,6960,-503.0,-491.0
0,6970,-503.0,-491.0
0,6980,-503.0,-491.0
0,6990,-503.0,-491.0
0,7000,-503.0,-491.0
0,7010,-503.0,-491.0
0,7020,-503.0,-491.0
0,7030,-503.0,-491.0
0,7040,-503.0,-491.0
0,7050,-503.0,-491.0
0,7060,-503.0,-491.0
0,7070,-503.0,-491.0
0,7080,-503.0,-491.0
0,7090,-503.0,-491.0
0,7100,-503.0,-491.0
0,7110,-503.0,-491.0
0,7120,-503.0,-491.0
0,7130,-503.0,-491.0
0,7140,-503.0,-491.0
0,7150,-503.0,-491.0
0,7160,-503.0,-491.0
0,7170,-503.0,-491.0
0,7180,-503.0,-491.0
0,7190,-503.0,-491.0
0,7200,-503.0,-491.0
0,7210,-503.0,-491.0
0,7220,-503.0,-491.0
0,7230,-503.0,-491.0
0,7240,-503.0,-491.0
0,7250,-503.0,-491.0
0,7260,-503.0,-491.0
0,7270,-503.0,-491.0
0,7280,-503.0,-491.0
0,7290,-503.0,-491.0
0,7300,-503.0,-491.0
0,7310,-503.0,-491.0
0,7320,-503.0,-491.0
0,7330,-503.0,-491.0
0,7340,-503.0,-491.0
0,7350,-503.0,-491.0
0,7360,-503.0,-491.0
0,7370,-503.0,-491.0
0,7380,-503.0,-491.0
0,7390,-503.0,-491.0
0,7400,-503.0,-491.0
0,7410,-503.0,-491.0
0,7420,-503.0,-491.0
0,7430,-503.0,-491.0
0,7440,-503.0,-491.0
0,7450,-503.0,-491.0
0,7460,-503.0,-491.0
0,7470,-503.0,-491.0
0,7480,-503.0,-491.0
0,7490,-503.0,-491.0
0,7500,-503.0,-491.0
0,7510,-503.0,-491.0
0,7520,-503.0,-491.0
0,7530,-503.0,-491.0
0,7540,-503.0,-491.0
0,7550,-503.0,-491.0
0,7560,-503.0,-491.0
0,7570,-503.0,-491.0
0,7580,-503.0,-491.0
0,7590,-503.0,-491.0
0,7600,-503.0,-491.0
0,7610,-503.0,-491.0
0,7620,-503.0,-491.0
0,7630,-503.0,-491.0
0,7640,-503.0,-491.0
0,7650,-503.0,-491.0
0,7660,-503.0,-491.0
0,7670,-503.0,-491.0
0,7680,-503.0,-491.0
0,7690,-503.0,-491.0
0,7700,-503.0,-491.0
0,7710,-503.0,-491.0
0,7720,-503.0,-491.0
0,7730,-503.0,-491.0
0,7740,-503.0,-491.0
0,7750,-503.0,-491.0
0,7760,-503.0,-491.0
0,7770,-503.0,-491.0
0,7780,-503.0,-491.0
0,7790,-503.0,-491.0
0,7800,-503.0,-491.0
0,7810,-503.0,-491.0
0,7820,-503.0,-491.0
0,7830,-503.0,-491.0
0,7840,-503.0,-491.0
0,7850,-503.0,-491.0
0,7860,-503.0,-491.0
0,7870,-503.0,-491.0
0,7880,-503.0,-491.0
0,7890,-503.0,-491.0
0,7900,-503.0,-491.0
0,7910,-503.0,-491.0
0,7920,-503.0,-491.0
0,7930,-503.0,-491.0
0,7940,-503.0,-491.0
0,7950,-503.0,-491.0
0,7960,-503.0,-491.0
0,7970,-503.0,-491.0
0,7980,-503.0,-491.0
0,7990,-503.0,-491.0
0,8000,-503.0,-491.0
0,8010,-503.0,-491.0
0,8020,-503.0,-491.0
0,8030,-503.0,-491.0
0,8040,-503.0,-491.0
